TF,Sources
Myod1,RegNetwork|TRRUST|ESCAPE
Myog,RegNetwork|TRRUST
Myst2,RegNetwork
Myst3,RegNetwork
Myt1,RegNetwork
Myt1l,RegNetwork
Mzf1,RegNetwork|TRRUST
Naa15,RegNetwork
Nab1,TRRUST
Nab2,RegNetwork|TRRUST
Nacc1,ESCAPE
Nanog,RegNetwork|TRRUST|ESCAPE
Nap1l2,RegNetwork
Nap1l3,RegNetwork
Nap1l4,RegNetwork
Ncoa1,RegNetwork|TRRUST
Ncoa2,RegNetwork|TRRUST
Ncoa3,RegNetwork|TRRUST
Ncoa4,RegNetwork|TRRUST
Ncoa5,RegNetwork|TRRUST
Ncoa6,RegNetwork|TRRUST
Ncor1,RegNetwork|TRRUST
Ncor2,RegNetwork|TRRUST
Ndn,RegNetwork|TRRUST
Ndnl2,RegNetwork
Neil2,RegNetwork
Neurod1,RegNetwork|TRRUST
Neurod4,RegNetwork
Neurod6,TRRUST
Neurog1,RegNetwork|TRRUST
Neurog2,RegNetwork|TRRUST
Neurog3,RegNetwork|TRRUST
Nf1,RegNetwork|TRRUST
Nfat5,RegNetwork|TRRUST
Nfatc1,RegNetwork|TRRUST
Nfatc2,RegNetwork|TRRUST
Nfatc2ip,TRRUST
Nfatc3,RegNetwork|TRRUST
Nfatc4,RegNetwork|TRRUST
Nfe2,RegNetwork|TRRUST
Nfe2l1,RegNetwork
Nfe2l2,RegNetwork|TRRUST
Nfe2l3,TRRUST
Nfia,RegNetwork|TRRUST
Nfib,RegNetwork|TRRUST
Nfic,RegNetwork|TRRUST
Nfil3,RegNetwork|TRRUST
Nfix,RegNetwork|TRRUST
Nfkb1,RegNetwork|TRRUST
Nfkb2,RegNetwork|TRRUST
Nfkbia,RegNetwork|TRRUST
Nfkbib,RegNetwork
Nfkbiz,RegNetwork|TRRUST
Nfrkb,RegNetwork
Nfx1,RegNetwork
Nfxl1,RegNetwork
Nfya,RegNetwork|TRRUST
Nfyb,RegNetwork|TRRUST
Nfyc,RegNetwork|TRRUST
Nhlh1,RegNetwork
Nhlh2,RegNetwork|TRRUST
Nkd2,RegNetwork
Nkrf,RegNetwork
Nkx2-1,RegNetwork|TRRUST
Nkx2-2,RegNetwork|TRRUST
Nkx2-3,RegNetwork|TRRUST
Nkx2-5,RegNetwork|TRRUST
Nkx2-9,RegNetwork|TRRUST
Nkx3-1,RegNetwork|TRRUST
Nkx3-2,RegNetwork|TRRUST
Nkx6-1,RegNetwork|TRRUST
Nkx6-2,RegNetwork
Nme2,RegNetwork
Nmi,RegNetwork
Nono,RegNetwork|TRRUST
Notch1,TRRUST
Notch2,RegNetwork|TRRUST
Notch3,RegNetwork|TRRUST
Notch4,RegNetwork|TRRUST
Npas1,TRRUST
Npas2,RegNetwork|TRRUST
Npm2,RegNetwork
Nr0b1,RegNetwork|TRRUST|ESCAPE
Nr0b2,RegNetwork|TRRUST
Nr1d1,RegNetwork|TRRUST
Nr1d2,RegNetwork|TRRUST
Nr1h2,RegNetwork|TRRUST
Nr1h3,RegNetwork|TRRUST
Nr1h4,RegNetwork|TRRUST
Nr1i2,RegNetwork|TRRUST
Nr1i3,RegNetwork|TRRUST
Nr2c1,RegNetwork|TRRUST
Nr2c2,TRRUST
Nr2e1,RegNetwork|TRRUST
Nr2e3,RegNetwork|TRRUST
Nr2f1,RegNetwork|TRRUST
Nr2f2,TRRUST
Nr2f6,RegNetwork|TRRUST
Nr3c1,RegNetwork|TRRUST
Nr3c2,RegNetwork|TRRUST
Nr4a1,RegNetwork|TRRUST
Nr4a2,RegNetwork|TRRUST
Nr4a3,RegNetwork|TRRUST
Nr5a1,RegNetwork|TRRUST
Nr5a2,RegNetwork|TRRUST|ESCAPE
Nrbf2,RegNetwork
Nrf1,RegNetwork|TRRUST
Nrip1,RegNetwork|TRRUST|ESCAPE
Nrl,TRRUST
Nsd1,RegNetwork
Nupr1,RegNetwork|TRRUST
Olig1,RegNetwork|TRRUST
Olig2,RegNetwork|TRRUST
Onecut1,RegNetwork|TRRUST
Orc2,RegNetwork
Otx2,RegNetwork|TRRUST|ESCAPE
Ovol1,RegNetwork|TRRUST
Pa2g4,RegNetwork
Papola,RegNetwork
Papolb,RegNetwork
Papolg,RegNetwork
Parn,RegNetwork
Parp1,RegNetwork|TRRUST
Patz1,RegNetwork
Pawr,RegNetwork
Pax1,RegNetwork|TRRUST
Pax2,RegNetwork|TRRUST
Pax3,RegNetwork|TRRUST
Pax4,RegNetwork|TRRUST
Pax5,RegNetwork|TRRUST
Pax6,RegNetwork|TRRUST
Pax7,RegNetwork|TRRUST
Pax8,RegNetwork|TRRUST
Pax9,RegNetwork|TRRUST
Pbrm1,RegNetwork|TRRUST
Pbx1,RegNetwork|TRRUST
Pbx2,RegNetwork|TRRUST
Pbx3,RegNetwork
Pbx4,RegNetwork|TRRUST
Pbxip1,RegNetwork
Pcbd1,RegNetwork
Pcbd2,RegNetwork
Pcbp2,TRRUST
Pcgf2,RegNetwork|TRRUST
Pcgf6,RegNetwork
Pdcd11,RegNetwork
Pdlim4,RegNetwork
Pdx1,RegNetwork|TRRUST
Ped,RegNetwork
Peg3,TRRUST
Pelp1,TRRUST
Per1,RegNetwork|TRRUST
Per2,RegNetwork|TRRUST
Per3,RegNetwork
Pgr,RegNetwork|TRRUST
Phb2,RegNetwork
Phc1,ESCAPE
Phf1,RegNetwork
Phf10,RegNetwork
Phf12,RegNetwork|TRRUST
Phf14,RegNetwork
Phf17,RegNetwork
Phf2,RegNetwork|TRRUST
Phf20,RegNetwork
Phf3,RegNetwork
Phox2a,TRRUST
Phox2b,RegNetwork|TRRUST
Phtf1,RegNetwork
Pias1,RegNetwork|TRRUST
Pias2,RegNetwork|TRRUST
Pias3,RegNetwork|TRRUST
Pias4,RegNetwork|TRRUST
Pitx1,RegNetwork|TRRUST
Pitx2,RegNetwork|TRRUST
Pitx3,RegNetwork|TRRUST
Pknox1,RegNetwork|TRRUST
Pknox2,RegNetwork
Plag1,RegNetwork|TRRUST
Plagl2,RegNetwork|TRRUST
Plrg1,RegNetwork
Pml,RegNetwork|TRRUST
Pms1,RegNetwork
Pnn,RegNetwork|TRRUST
Polr1a,RegNetwork
Polr1b,RegNetwork
Polr1c,RegNetwork
Polr1d,RegNetwork
Polr1e,RegNetwork
Polr2a,RegNetwork
Polr2b,RegNetwork
Polr2c,RegNetwork
Polr2d,RegNetwork
Polr2e,RegNetwork
Polr2f,RegNetwork
Polr2g,RegNetwork
Polr2h,RegNetwork
Polr2i,RegNetwork
Polr2j,RegNetwork
Polr2k,RegNetwork
Polr3a,RegNetwork
Polr3b,RegNetwork
Polr3c,RegNetwork
Polr3d,RegNetwork
Polr3e,RegNetwork
Polr3f,RegNetwork
Polr3h,RegNetwork
Polr3k,RegNetwork
Pou1f1,TRRUST
Pou2af1,RegNetwork|TRRUST
Pou2f1,RegNetwork|TRRUST
Pou2f2,RegNetwork|TRRUST
Pou2f3,RegNetwork|TRRUST
Pou3f1,RegNetwork|TRRUST
Pou3f2,RegNetwork|TRRUST
Pou3f3,RegNetwork|TRRUST
Pou3f4,RegNetwork|TRRUST
Pou4f1,RegNetwork|TRRUST
Pou4f2,RegNetwork|TRRUST
Pou4f3,TRRUST
Pou5f1,RegNetwork|TRRUST|ESCAPE
Pou6f1,RegNetwork
Pou6f2,RegNetwork
Ppara,RegNetwork|TRRUST
Ppard,RegNetwork|TRRUST
Pparg,RegNetwork|TRRUST
Ppargc1a,RegNetwork|TRRUST
Ppargc1b,RegNetwork|TRRUST
Prdm1,TRRUST
Prdm13,TRRUST
Prdm14,ESCAPE
Prdm16,RegNetwork|TRRUST
Prdm4,RegNetwork
Prdm5,RegNetwork|TRRUST
Prdm8,RegNetwork|TRRUST
Preb,RegNetwork
Prl,TRRUST
Prop1,RegNetwork|TRRUST
Prox1,RegNetwork|TRRUST
Prpf4b,RegNetwork
Prrx1,RegNetwork|TRRUST
Prrx2,RegNetwork|TRRUST
Psip1,RegNetwork
Ptf1a,RegNetwork|TRRUST
Pth,TRRUST
Pthlh,TRRUST
Ptrf,RegNetwork
Pttg1,RegNetwork|TRRUST
Pura,RegNetwork|TRRUST
Pwp1,RegNetwork|TRRUST
Pygo1,RegNetwork
Pygo2,TRRUST
Rad51,RegNetwork
Rad51l1,RegNetwork
Rad54b,RegNetwork
Raf1,TRRUST
Rai14,RegNetwork
Rala,TRRUST
Rapgef3,RegNetwork
Rara,RegNetwork|TRRUST
Rarb,RegNetwork|TRRUST
Rarg,RegNetwork|TRRUST
Rax,RegNetwork|TRRUST
Rb1,RegNetwork|TRRUST
Rbak,RegNetwork
Rbbp4,RegNetwork
Rbbp7,RegNetwork
Rbck1,RegNetwork
Rbfox2,RegNetwork
Rbl1,RegNetwork|TRRUST
Rbl2,RegNetwork|TRRUST
Rbm14,RegNetwork
Rbm15,RegNetwork
Rbm39,RegNetwork
Rbmx,RegNetwork|TRRUST
Rbmxl2,RegNetwork
Rbpj,RegNetwork|TRRUST
Rbpjl,RegNetwork
Rcor2,RegNetwork
Rdbp,RegNetwork
Rel,RegNetwork|TRRUST
Rela,RegNetwork|TRRUST
Relb,RegNetwork|TRRUST
Rere,RegNetwork|TRRUST
Rest,RegNetwork|TRRUST|ESCAPE
Rexo4,RegNetwork
Rfc1,RegNetwork
Rfx1,RegNetwork|TRRUST
Rfx2,RegNetwork
Rfx3,RegNetwork|TRRUST
Rfx4,RegNetwork|TRRUST
Rfx5,RegNetwork|TRRUST
Rfx7,RegNetwork
Rfxank,RegNetwork|TRRUST
Rfxap,RegNetwork|TRRUST
Rgs14,RegNetwork
Rhox6,ESCAPE
Ring1,RegNetwork
Rlim,RegNetwork
Rnf14,RegNetwork
Rnf19a,RegNetwork
Rnf2,RegNetwork|TRRUST|ESCAPE
Rnf4,RegNetwork
Rnf6,RegNetwork
Rnps1,RegNetwork
Rora,RegNetwork|TRRUST
Rorb,RegNetwork
Rorc,RegNetwork
Rps6ka5,TRRUST
Rsf1,RegNetwork
Runx1,RegNetwork|TRRUST
Runx1t1,RegNetwork|TRRUST
Runx2,RegNetwork|TRRUST
Runx3,RegNetwork|TRRUST
Ruvbl1,RegNetwork
Ruvbl2,RegNetwork|TRRUST
Rxra,RegNetwork|TRRUST|ESCAPE
Rxrb,RegNetwork|TRRUST
Rxrg,RegNetwork
Rybp,RegNetwork
Safb,RegNetwork
Sall1,RegNetwork|TRRUST|ESCAPE
Sall2,RegNetwork|TRRUST
Sall3,RegNetwork
Sall4,RegNetwork|TRRUST|ESCAPE
Sap18,RegNetwork
Sap30,RegNetwork
Sap30bp,RegNetwork
Satb1,RegNetwork|TRRUST
Satb2,RegNetwork|TRRUST
Scmh1,RegNetwork
Scml2,RegNetwork
Scx,TRRUST
Sertad1,RegNetwork|TRRUST
Sertad2,RegNetwork
Sertad3,RegNetwork
Setbp1,RegNetwork|TRRUST
Setdb1,ESCAPE
Sf1,RegNetwork|TRRUST
Sfpi1,RegNetwork|ESCAPE
Sfpq,RegNetwork|TRRUST
Shh,TRRUST
Shox2,TRRUST
Sim1,RegNetwork|TRRUST
Sim2,RegNetwork|TRRUST
Sin3a,RegNetwork|TRRUST
Sin3b,RegNetwork|TRRUST
Sirt1,RegNetwork|TRRUST
Sirt2,RegNetwork
Sirt3,RegNetwork
Sirt4,RegNetwork
Sirt5,RegNetwork|TRRUST
Sirt7,RegNetwork
Six1,RegNetwork|TRRUST
Six2,RegNetwork|TRRUST
Six3,RegNetwork|TRRUST
Six4,RegNetwork|TRRUST
Six5,RegNetwork|TRRUST
Six6,RegNetwork|TRRUST
Ski,RegNetwork|TRRUST
Skil,RegNetwork|TRRUST
Sla2,RegNetwork|TRRUST
Slc39a11,RegNetwork
Smad1,RegNetwork|TRRUST|ESCAPE
Smad2,RegNetwork|TRRUST
Smad3,RegNetwork|TRRUST
Smad4,RegNetwork|TRRUST|ESCAPE
Smad5,RegNetwork|TRRUST
Smad6,RegNetwork|TRRUST
Smad7,RegNetwork|TRRUST|ESCAPE
Smad9,RegNetwork|TRRUST
Smarca1,RegNetwork
Smarca2,RegNetwork|TRRUST
Smarca4,RegNetwork|TRRUST
Smarca5,RegNetwork|TRRUST
Smarcad1,RegNetwork
Smarcb1,RegNetwork
Smarcc1,RegNetwork|TRRUST
Smarcc2,RegNetwork
Smarcd1,RegNetwork|TRRUST
Smarcd2,RegNetwork
Smarcd3,RegNetwork
Smarce1,RegNetwork|TRRUST
Smurf1,TRRUST
Smurf2,RegNetwork|TRRUST
Smyd1,RegNetwork|TRRUST
Snai1,RegNetwork|TRRUST
Snai2,RegNetwork|TRRUST
Snapc1,RegNetwork
Snapc2,RegNetwork
Snapc3,RegNetwork
Snapc4,RegNetwork
Snapc5,RegNetwork
Snd1,RegNetwork|TRRUST
Snip1,RegNetwork
Snrpb,RegNetwork
Snrpd1,RegNetwork
Sos1,RegNetwork
Sos2,RegNetwork
Sowahc,RegNetwork
Sox10,RegNetwork|TRRUST
Sox11,RegNetwork|TRRUST
Sox14,TRRUST
Sox15,RegNetwork|TRRUST
Sox17,RegNetwork|TRRUST|ESCAPE
Sox18,TRRUST
Sox2,RegNetwork|TRRUST|ESCAPE
Sox21,TRRUST
Sox3,RegNetwork
Sox4,TRRUST
Sox5,RegNetwork|TRRUST
Sox6,RegNetwork|TRRUST
Sox7,TRRUST
Sox8,RegNetwork|TRRUST
Sox9,RegNetwork|TRRUST|ESCAPE
Sp1,RegNetwork|TRRUST
Sp2,RegNetwork|TRRUST
Sp3,RegNetwork|TRRUST
Sp4,RegNetwork|TRRUST
Sp5,TRRUST
Sp7,RegNetwork|TRRUST
Sp8,RegNetwork|TRRUST
Sp9,TRRUST
Spdef,RegNetwork|TRRUST
Spen,RegNetwork|TRRUST
Spi1,TRRUST
Spib,TRRUST
Spic,TRRUST
Spo11,RegNetwork
Spz1,RegNetwork
Srebf1,RegNetwork|TRRUST
Srebf2,RegNetwork|TRRUST
Srf,RegNetwork|TRRUST
Srrm1,RegNetwork
Srrt,TRRUST
Srsf1,RegNetwork
Srsf2,RegNetwork
Srsf3,RegNetwork
Srsf5,RegNetwork
Srsf6,RegNetwork
Srsf9,RegNetwork
Sry,RegNetwork|TRRUST
Ss18l1,RegNetwork
Ssb,RegNetwork|TRRUST
Ssbp2,RegNetwork
Ssbp3,RegNetwork
Ssbp4,RegNetwork
Ssrp1,RegNetwork
Stat1,RegNetwork|TRRUST
Stat2,RegNetwork|TRRUST
Stat3,RegNetwork|TRRUST|ESCAPE
Stat4,RegNetwork|TRRUST
Stat5a,RegNetwork|TRRUST
Stat5b,RegNetwork|TRRUST
Stat6,RegNetwork|TRRUST
Sub1,RegNetwork
Sufu,RegNetwork|TRRUST
Sugp1,RegNetwork
Supt16h,RegNetwork
Supt4h1,RegNetwork
Supt5h,RegNetwork
Supt6h,RegNetwork
Suv39h2,RegNetwork
Suz12,RegNetwork|TRRUST|ESCAPE
Syt1,TRRUST
T,RegNetwork|ESCAPE
Tada3,RegNetwork
Taf1,RegNetwork
Taf10,RegNetwork
Taf11,RegNetwork
Taf12,TRRUST
Taf13,RegNetwork
Taf15,RegNetwork
Taf1a,RegNetwork
Taf1b,RegNetwork
Taf1c,RegNetwork
Taf4a,RegNetwork
Taf4b,TRRUST
Taf5,RegNetwork
Taf5l,RegNetwork
Taf6,RegNetwork
Taf6l,RegNetwork
Taf7,RegNetwork
Taf9,RegNetwork|TRRUST
Tal1,RegNetwork|TRRUST
Tal2,RegNetwork
Tarbp2,RegNetwork
Tardbp,RegNetwork|TRRUST
Tax1bp3,RegNetwork|TRRUST
Tbl1x,RegNetwork
Tbp,RegNetwork|TRRUST
Tbpl1,RegNetwork|TRRUST
Tbr1,RegNetwork|TRRUST
Tbx1,RegNetwork|TRRUST
Tbx15,RegNetwork
Tbx18,RegNetwork|TRRUST
Tbx19,RegNetwork|TRRUST
Tbx2,RegNetwork|TRRUST
Tbx20,RegNetwork|TRRUST
Tbx21,RegNetwork|TRRUST
Tbx3,RegNetwork|TRRUST|ESCAPE
Tbx4,RegNetwork|TRRUST
Tbx5,RegNetwork|TRRUST
Tbx6,RegNetwork|TRRUST
Tcea1,RegNetwork
Tcea3,ESCAPE
Tceb1,RegNetwork
Tceb2,RegNetwork
Tceb3,RegNetwork
Tcerg1,RegNetwork
Tcf12,RegNetwork|TRRUST
Tcf19,TRRUST
Tcf20,TRRUST
Tcf21,RegNetwork|TRRUST
Tcf3,RegNetwork|TRRUST|ESCAPE
Tcf4,RegNetwork|TRRUST
Tcf7,RegNetwork|TRRUST
Tcf7l1,RegNetwork
Tcf7l2,RegNetwork|TRRUST|ESCAPE
Tcfcp2l1,ESCAPE
Tcfl5,TRRUST
Tcof1,RegNetwork
Tead1,RegNetwork
Tead2,RegNetwork|TRRUST
Tead3,RegNetwork
Tead4,RegNetwork|TRRUST
Tef,RegNetwork|TRRUST
Tfap2a,RegNetwork|TRRUST
Tfap2b,RegNetwork|TRRUST
Tfap2c,RegNetwork|TRRUST
Tfap2d,RegNetwork|TRRUST
Tfap2e,RegNetwork
Tfap4,RegNetwork
Tfcp2,RegNetwork|TRRUST
Tfcp2l1,RegNetwork
Tfdp1,RegNetwork|TRRUST
Tfdp2,RegNetwork
Tfe3,RegNetwork|TRRUST
Tfeb,RegNetwork
Tgfb1,TRRUST
Tgfb1i1,RegNetwork|TRRUST
Tgif1,RegNetwork
Tgif2,RegNetwork
Tgif2lx1,RegNetwork
Th1l,RegNetwork
Thra,RegNetwork|TRRUST
Thrap3,RegNetwork|TRRUST
Thrb,RegNetwork|TRRUST
Tial1,RegNetwork|TRRUST
Timeless,RegNetwork
Tip60,ESCAPE
Tle1,RegNetwork
Tle2,TRRUST
Tle3,RegNetwork|TRRUST
Tle6,RegNetwork
Tlr4,TRRUST
Tlx1,RegNetwork
Tlx2,RegNetwork
Tlx3,RegNetwork|TRRUST
Tmf1,RegNetwork
Tnf,RegNetwork|TRRUST
Tnfaip3,RegNetwork|TRRUST
Tob1,RegNetwork|TRRUST
Toe1,RegNetwork
Top2b,RegNetwork
Topors,RegNetwork
Tox2,RegNetwork
Tox3,RegNetwork
Tox4,RegNetwork
Trerf1,RegNetwork
Trib3,RegNetwork
Trim13,TRRUST
Trim21,RegNetwork
Trim24,RegNetwork|TRRUST
Trim25,RegNetwork
Trim27,RegNetwork
Trim28,RegNetwork|TRRUST|ESCAPE
Trim32,RegNetwork|TRRUST
Trim33,RegNetwork
Trip11,RegNetwork
Trip13,RegNetwork
Trip4,RegNetwork
Trip6,RegNetwork
Trp53,RegNetwork|TRRUST
Trp53bp1,RegNetwork|TRRUST
Trp63,RegNetwork|TRRUST
Trp73,RegNetwork|TRRUST
Trps1,RegNetwork|TRRUST
Trrap,RegNetwork|TRRUST
Tsc22d3,RegNetwork
Tsc22d4,RegNetwork
Tsg101,RegNetwork|TRRUST
Tshz3,RegNetwork|TRRUST
Ttf1,TRRUST
Ttf2,RegNetwork|TRRUST
Tuba1a,ESCAPE
Tulp3,RegNetwork
Twist1,RegNetwork|TRRUST
Twist2,TRRUST
Ube2k,TRRUST
Ubp1,RegNetwork
Ubtf,RegNetwork
Uimc1,RegNetwork
Upf1,RegNetwork
Usf1,RegNetwork|TRRUST
Usf2,RegNetwork|TRRUST
Utf1,RegNetwork|TRRUST
Vax2,RegNetwork|TRRUST
Vdr,RegNetwork|TRRUST
Vezf1,RegNetwork|TRRUST
Vgll2,RegNetwork
Vhl,RegNetwork|TRRUST
Vsx1,RegNetwork
Vsx2,RegNetwork|TRRUST
Wbp11,RegNetwork
Wbp7,RegNetwork
Whsc1,RegNetwork
Whsc1l1,RegNetwork|TRRUST
Whsc2,ESCAPE
Wnt1,TRRUST
Wnt5a,TRRUST
Wt1,RegNetwork|TRRUST
Wwp1,RegNetwork|TRRUST
Wwtr1,RegNetwork|TRRUST
Xab2,RegNetwork
Xbp1,RegNetwork|TRRUST
Xpc,RegNetwork|TRRUST
Xrcc3,RegNetwork
Xrcc5,RegNetwork|TRRUST
Xrcc6,RegNetwork|TRRUST
Yaf2,RegNetwork
Ybx1,RegNetwork|TRRUST
Yeats2,RegNetwork
Yeats4,RegNetwork
Yy1,RegNetwork|TRRUST|ESCAPE
Zbtb10,RegNetwork
Zbtb16,RegNetwork|TRRUST
Zbtb17,RegNetwork|TRRUST
Zbtb2,RegNetwork|TRRUST
Zbtb20,RegNetwork|TRRUST
Zbtb22,RegNetwork
Zbtb24,RegNetwork
Zbtb3,RegNetwork
Zbtb32,TRRUST
Zbtb33,RegNetwork|TRRUST
Zbtb38,TRRUST
Zbtb39,RegNetwork
Zbtb43,RegNetwork
Zbtb48,RegNetwork
Zbtb7a,RegNetwork|TRRUST
Zbtb7b,RegNetwork
Zbtb9,RegNetwork
Zdhhc13,RegNetwork
Zdhhc15,RegNetwork
Zdhhc16,RegNetwork
Zdhhc6,RegNetwork
Zeb1,RegNetwork|TRRUST
Zeb2,RegNetwork|TRRUST
Zfand3,ESCAPE
Zfhx3,RegNetwork
Zfml,RegNetwork
Zfp11,RegNetwork
Zfp110,RegNetwork
Zfp111,RegNetwork
Zfp12,RegNetwork
Zfp128,RegNetwork
Zfp13,TRRUST
Zfp143,RegNetwork|TRRUST
Zfp148,RegNetwork|TRRUST
Zfp161,RegNetwork
Zfp180,RegNetwork
Zfp191,RegNetwork
Zfp217,RegNetwork
Zfp219,RegNetwork
Zfp236,RegNetwork
Zfp263,RegNetwork|TRRUST
Zfp275,RegNetwork
Zfp276,RegNetwork
Zfp277,RegNetwork|TRRUST
Zfp28,RegNetwork
Zfp280b,RegNetwork
Zfp281,RegNetwork|TRRUST|ESCAPE
Zfp292,RegNetwork
Zfp296,RegNetwork
Zfp30,RegNetwork
Zfp326,RegNetwork
Zfp335,TRRUST
Zfp354a,RegNetwork
Zfp36,RegNetwork|TRRUST
Zfp36l1,RegNetwork
Zfp384,TRRUST
Zfp385a,TRRUST
Zfp398,RegNetwork
Zfp410,TRRUST
Zfp42,RegNetwork|TRRUST|ESCAPE
Zfp423,RegNetwork|TRRUST
Zfp446,RegNetwork
Zfp462,RegNetwork
Zfp467,RegNetwork
Zfp473,RegNetwork
Zfp488,TRRUST
Zfp512,RegNetwork
Zfp513,RegNetwork|TRRUST
Zfp523,RegNetwork|TRRUST
Zfp524,RegNetwork
Zfp592,RegNetwork
Zfp593,RegNetwork
Zfp623,RegNetwork
Zfp64,RegNetwork|TRRUST
Zfp641,RegNetwork
Zfp661,RegNetwork
Zfp688,RegNetwork
Zfp764,RegNetwork
Zfp768,RegNetwork
Zfp82,RegNetwork
Zfp91,RegNetwork
Zfpm1,RegNetwork|TRRUST
Zfpm2,RegNetwork|TRRUST
Zfx,RegNetwork|ESCAPE
Zhx2,RegNetwork
Zhx3,TRRUST
Zic1,RegNetwork|TRRUST
Zic2,RegNetwork|TRRUST
Zic3,RegNetwork|TRRUST|ESCAPE
Zkscan17,RegNetwork
Zkscan4,RegNetwork
Zkscan6,RegNetwork
Zmym2,RegNetwork
Zmynd11,RegNetwork
Znrd1,RegNetwork
Zscan10,RegNetwork|TRRUST
Zscan2,RegNetwork
Zscan21,RegNetwork
Zscan4c,ESCAPE
Zswim4,RegNetwork
Zzz3,RegNetwork
